rd_name,total_accidents,total_fatalities,total_injuries,worker_cause_accidents,years_covered,accident_rate
1,3,0,16,0,35,0.08571428571428572
10,4,0,8,0,21,0.19047619047619047
105,2,0,14,1,29,0.06896551724137931
114,14,2,35,4,21,0.6666666666666666
120,2,1,5,1,17,0.11764705882352941
127,13,6,43,3,27,0.48148148148148145
131,2,0,6,0,12,0.16666666666666666
134,2,1,7,0,30,0.06666666666666667
135,2,1,2,0,5,0.4
136,7,1,16,3,23,0.30434782608695654
137,1,0,0,0,1,1.0
143,10,10,36,2,25,0.4
145,12,0,48,0,37,0.32432432432432434
149,8,3,7,3,30,0.26666666666666666
153,6,0,18,2,19,0.3157894736842105
158,6,8,30,1,22,0.2727272727272727
17,3,1,53,1,23,0.13043478260869565
172,3,2,18,1,5,0.6
175,8,3,48,1,15,0.5333333333333333
187,2,1,2,1,9,0.2222222222222222
19,9,0,43,4,15,0.6
194,13,0,115,1,35,0.37142857142857144
208,1,0,0,0,1,1.0
222,1,0,3,0,1,1.0
25,1,0,1,0,1,1.0
250,6,1,126,2,28,0.21428571428571427
264,2,4,15,2,18,0.1111111111111111
27,14,1,189,4,29,0.4827586206896552
282,4,1,18,1,23,0.17391304347826086
287,1,0,5,1,1,1.0
3,11,2,52,4,14,0.7857142857142857
30,1,0,2,0,1,1.0
31,5,1,19,2,24,0.20833333333333334
32,9,6,134,4,35,0.2571428571428571
326,2,0,0,0,19,0.10526315789473684
329,8,0,38,4,35,0.22857142857142856
336,8,4,32,2,25,0.32
344,3,0,23,1,10,0.3
348,3,1,20,1,18,0.16666666666666666
35,13,3,201,2,33,0.3939393939393939
367,4,0,5,1,29,0.13793103448275862
375,5,2,12,2,18,0.2777777777777778
376,5,3,9,1,26,0.19230769230769232
379,6,1,80,1,37,0.16216216216216217
382,7,1,80,3,19,0.3684210526315789
387,3,0,14,1,21,0.14285714285714285
39,5,0,12,1,22,0.22727272727272727
394,15,1,147,7,34,0.4411764705882353
400,6,2,49,1,21,0.2857142857142857
401,15,1,73,6,34,0.4411764705882353
417,6,7,29,1,13,0.46153846153846156
427,2,0,4,0,4,0.5
428,4,3,8,1,22,0.18181818181818182
435,8,3,45,4,25,0.32
440,9,6,80,2,30,0.3
445,7,2,7,1,15,0.4666666666666667
446,4,3,4,1,33,0.12121212121212122
448,7,2,32,2,26,0.2692307692307692
452,5,0,58,1,21,0.23809523809523808
453,1,0,0,1,1,1.0
456,1,0,0,0,1,1.0
458,16,2,100,3,38,0.42105263157894735
459,9,2,18,4,15,0.6
461,5,3,21,0,39,0.1282051282051282
462,25,13,145,6,44,0.5681818181818182
463,6,3,22,1,41,0.14634146341463414
465,18,15,127,5,32,0.5625
466,23,9,67,3,45,0.5111111111111111
468,15,5,116,1,44,0.3409090909090909
469,8,3,30,2,25,0.32
471,10,1,29,2,28,0.35714285714285715
472,7,3,59,3,30,0.23333333333333334
473,15,2,101,9,31,0.4838709677419355
474,5,2,11,2,16,0.3125
475,5,2,17,2,8,0.625
477,9,0,41,4,5,1.8
478,4,4,7,1,22,0.18181818181818182
480,3,0,3,0,24,0.125
482,28,9,102,6,44,0.6363636363636364
496,3,1,31,2,5,0.6
497,8,0,45,1,21,0.38095238095238093
499,7,3,20,0,2,3.5
5,4,0,14,2,7,0.5714285714285714
50,3,1,29,0,21,0.14285714285714285
500,3,1,16,1,17,0.17647058823529413
501,8,1,25,2,34,0.23529411764705882
502,5,1,22,1,17,0.29411764705882354
503,2,0,3,1,10,0.2
505,5,3,7,2,30,0.16666666666666666
508,10,2,37,1,28,0.35714285714285715
509,8,3,29,3,23,0.34782608695652173
510,8,1,23,2,19,0.42105263157894735
515,8,0,16,4,27,0.2962962962962963
519,3,1,4,0,35,0.08571428571428572
54,3,0,7,0,12,0.25
540,5,0,17,2,27,0.18518518518518517
545,4,3,17,0,15,0.26666666666666666
549,3,0,2,0,5,0.6
552,13,1,65,7,19,0.6842105263157895
568,14,12,83,1,31,0.45161290322580644
578,1,1,1,0,1,1.0
580,7,1,7,0,19,0.3684210526315789
581,2,0,0,0,8,0.25
582,2,1,52,0,1,2.0
585,1,0,7,1,1,1.0
589,2,0,1,0,19,0.10526315789473684
62,3,2,5,1,6,0.5
72,2,1,6,1,3,0.6666666666666666
85,6,0,28,1,27,0.2222222222222222
9,29,7,178,8,38,0.7631578947368421
